Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"Bière avec Seb - EPFLRT"	"30.06.2021 15:00"	"30.06.2021 16:00"	"Rappel"	""	""
"Zoom avec Prof. Thiran"	"19.08.2020 18:00"	"19.08.2020 19:00"	""	""	""
"Aller chercher vaccin tiques"	"25.06.2021 09:30"	"25.06.2021 10:30"	"Rappel"	""	""
"Verre avec Mile"	"10.05.2021 18:00"	"10.05.2021 19:00"	"Rappel"	""	""
"Pidoux"	"29.07.2021 13:00"	"29.07.2021 14:00"	"Rappel"	""	""
"Ménage Lausanne"	"20.01.2021 12:00"	"20.01.2021 13:00"	"Rappel"	""	""
"Ne pas prendre d’habits supplémentaires à Lausanne"	"14.10.2020"	"15.10.2020"	""	""	""
"Bière sponsoring"	"21.04.2021 17:15"	"21.04.2021 19:00"	"Rappel"	""	""
"Bouffe avec Philippex"	"21.07.2021 12:00"	"21.07.2021 13:00"	"Rappel"	""	""
"Réunion team leaders"	"17.12.2020 17:30"	"17.12.2020 18:30"	"Rappel"	""	""
"Exa compsec"	"30.11.2020 12:00"	"30.11.2020 13:00"	"Rappel"	""	""
"Repas avec Anabela"	"26.12.2020 19:00"	"26.12.2020 20:00"	"Rappel"	""	""
"Call avec Emmanuel VD"	"02.06.2021 15:30"	"02.06.2021 16:30"	"Rappel"	""	""
"Réception nouveau lit IKEA"	"01.06.2021 08:00"	"01.06.2021 12:00"	"Rappel"	""	""
"Contacter Arthur Racing Team pour meeting zoom"	"22.07.2020 19:30"	"22.07.2020 20:30"	"Rappel"	""	""
"Événement EPFLRT x TCS"	"24.09.2021"	"25.09.2021"	""	""	""
"Bière avec Marin"	"12.12.2020 20:00"	"12.12.2020 21:00"	"Rappel"	""	""
"Soirée Natkim et Alex"	"24.02.2021 20:00"	"24.02.2021 21:00"	"Rappel"	""	""
"Soirée Florence"	"04.05.2021 19:00"	"04.05.2021 20:00"	"Rappel"	""	""
"Ophtalmologue"	"22.12.2020 09:00"	"22.12.2020 10:00"	"Rappel"	""	""
"Midi avec Pidoux"	"05.03.2021 13:00"	"05.03.2021 14:00"	"Rappel"	""	""
"Bar vortex avec Milan + Simon"	"29.09.2020 19:00"	"29.09.2020 20:00"	"Rappel"	""	""
"Annuler abo picolo"	"27.10.2020"	"28.10.2020"	""	""	""
"Forum EPFL"	"05.10.2020"	"10.10.2020"	""	""	""
"Manger avec Sarah et Jarod"	"19.10.2020 19:00"	"19.10.2020 20:00"	"Rappel"	""	""
"Exam: ProbaStats"	"14.08.2020 08:00"	"14.08.2020 11:00"	""	""	""
"Répondre mail bounding boxes + envoyer mail compsec"	"08.10.2020 09:00"	"08.10.2020 10:00"	"Rappel"	""	""
"Contrôle ménage"	"06.05.2021"	"07.05.2021"	""	""	""
"Rappeler réunion + document"	"05.10.2020 21:00"	"05.10.2020 22:00"	"Rappel
FREQ=WEEKLY;COUNT=11"	""	""
"Rappeler réunion + document + Jessie

RELATED-TO;RELTYPE=X-CALENDARSERVER-RECURRENCE-SET:8F972356-F7D1-42ED-874C-B8AD75E30DE3"	"12.10.2020 21:00"	"12.10.2020 22:00"	""	""	""
"Midi avec Nico"	"16.09.2020 12:00"	"16.09.2020 13:00"	""	""	""
"CompSec homework (2 homeworks)"	"18.12.2020 12:00"	"18.12.2020 13:00"	"Rappel"	""	""
"Contacter DSPS pour Dassault"	"27.08.2021 19:00"	"27.08.2021 20:00"	"Rappel"	""	""
"Physio"	"26.08.2020 14:30"	"26.08.2020 15:30"	""	""	""
"Manger avec Eloi"	"28.10.2020 20:00"	"28.10.2020 21:00"	"Rappel"	""	""
"Physio"	"20.07.2020 15:30"	"20.07.2020 16:30"	"Rappel"	""	""
"Soirée Clem Co"	"02.10.2020 20:00"	"02.10.2020 21:00"	""	""	""
"Meeting Lemo"	"23.09.2021 13:30"	"23.09.2021 15:00"	"Rappel"	""	""
"Check mail event José"	"04.05.2021 08:00"	"04.05.2021 09:00"	"Rappel"	""	""
"Ongles"	"24.10.2020"	"25.10.2020"	""	""	""
"Call Racing Team Statics"	"09.09.2021 13:00"	"09.09.2021 14:00"	"Rappel"	""	""
"Café avec Juju colo"	"29.07.2021 17:00"	"29.07.2021 18:00"	"Rappel"	""	""
"Rekord Oktoberfest"	"14.02.2021 12:00"	"14.02.2021 13:00"	"Rappel"	""	""
"Hotel avec Anne"	"22.05.2021"	"24.05.2021"	""	""	""
"Chalet avec Flo"	"05.03.2021"	"08.03.2021"	""	""	""
"SHS Exa"	"24.11.2020 12:00"	"24.11.2020 13:00"	"Rappel"	""	""
"Dépistage Covid"	"26.08.2020 11:00"	"26.08.2020 12:00"	""	""	""
"Bouffe avec Joris"	"26.05.2021 20:00"	"26.05.2021 21:00"	"Rappel"	""	""
"Répondre FMEL"	"28.08.2021"	"29.08.2021"	""	""	""
"Meeting Swisstech"	"01.04.2021 08:30"	"01.04.2021 09:30"	"Rappel"	""	""
"Appel Racing Team"	"09.02.2021 13:00"	"09.02.2021 14:00"	"Rappel"	""	""
"Shooting Nylsa"	"06.02.2021 12:00"	"06.02.2021 13:00"	"Rappel"	""	""
"Chez Simon"	"28.10.2020 22:00"	"28.10.2020 23:00"	"Rappel"	""	""
"Anni Mile"	"23.01.2021 20:00"	"23.01.2021 21:00"	"Rappel"	""	""
"Soirée avec Théa et Flo"	"22.10.2020 20:00"	"22.10.2020 21:00"	"Rappel"	""	""
"Nylsa à Lausanne"	"21.01.2021 18:00"	"21.01.2021 19:00"	"Rappel"	""	""
"Midi avec Simon"	"28.05.2021 12:00"	"28.05.2021 13:00"	"Rappel"	""	""
"Rendre homework algo + implementation"	"16.11.2020 17:00"	"16.11.2020 18:00"	"Rappel"	""	""
"Pièce de théâtre Marion"	"26.09.2020"	"28.09.2020"	""	""	""
"Bière avec Hippo"	"17.09.2021 16:30"	"17.09.2021 17:30"	"Rappel"	""	""
"Contrat Lemo"	"28.07.2021 10:45"	"28.07.2021 11:45"	"Rappel"	""	""
"Physio"	"09.09.2020 13:30"	"09.09.2020 14:30"	"Rappel"	""	""
"Meeting important EPFL Racing Team"	"16.09.2020 11:00"	"16.09.2020 12:00"	""	""	""
"Meeting technique Dassault"	"25.05.2021 16:00"	"25.05.2021 17:00"	"Rappel"	""	""
"Call Dassault x EPFL - Suite"	"18.03.2021 08:00"	"18.03.2021 09:00"	"Rappel"	""	""
"Anni Chris"	"28.12.2020 20:00"	"28.12.2020 21:00"	"Rappel"	""	""
"Call Tia Sarah"	"13.02.2021 14:00"	"13.02.2021 15:00"	"Rappel"	""	""
"Bière avec Jess"	"12.09.2020 21:00"	"12.09.2020 22:00"	"Rappel"	""	""
"Weekly meetings EPFLRT"	"02.06.2021 18:30"	"02.06.2021 19:30"	"Rappel"	""	""
"Zoom Meeting Michael"	"12.09.2020 12:00"	"12.09.2020 13:00"	"Rappel"	""	""
"Soirée Gowtham"	"17.02.2021 19:00"	"17.02.2021 20:00"	"Rappel"	""	""
"Barbier"	"29.09.2020 15:30"	"29.09.2020 16:30"	""	""	""
"Bière avec Coline"	"14.05.2021 19:00"	"14.05.2021 20:00"	"Rappel"	""	""
"Meeting sponsoring"	"24.02.2021 17:00"	"24.02.2021 18:00"	"Rappel"	""	""
"Checker contrat Lemo"	"26.07.2021 11:00"	"26.07.2021 12:00"	"Rappel"	""	""
"Répondre mail caméras"	"25.10.2020"	"26.10.2020"	""	""	""
"Call Clement sponsoring"	"22.09.2021 10:15"	"22.09.2021 11:15"	"Rappel"	""	""
"Studio Natkim"	"24.03.2021 20:00"	"24.03.2021 21:00"	"Rappel"	""	""
"Formation sécurité Spark"	"30.09.2020 10:30"	"30.09.2020 11:30"	""	""	""
"Team meeting"	"24.09.2020 18:45"	"24.09.2020 19:45"	"Rappel"	""	""
"Soirée Nico et Théo"	"26.08.2020 20:00"	"26.08.2020 21:00"	"Rappel"	""	""
"Pitch night with Moritz"	"09.02.2021 18:00"	"09.02.2021 19:00"	"Rappel"	""	""
"Photo Racing team"	"09.10.2020 17:30"	"09.10.2020 18:30"	"Rappel"	""	""
"Call tia Sarah"	"06.10.2020 19:00"	"06.10.2020 20:00"	"Rappel"	""	""
"Rendez-vous dermato"	"27.05.2021 15:15"	"27.05.2021 16:15"	"Rappel"	""	""
"Meeting STCC"	"11.05.2021 09:30"	"11.05.2021 10:30"	"Rappel"	""	""
"Appel Bellet"	"22.02.2021 21:00"	"22.02.2021 22:00"	"Rappel"	""	""
"Faire le site avec Pidoux"	"31.01.2021 10:00"	"31.01.2021 19:00"	"Rappel"	""	""
"Terminer formulaire AG"	"28.08.2021"	"29.08.2021"	""	""	""
"Mail Patrick location"	"05.09.2021 19:00"	"05.09.2021 20:00"	"Rappel"	""	""
"Soirée Chris et Benji"	"11.02.2021 17:00"	"11.02.2021 23:00"	"Rappel"	""	""
"Zoom meeting Alex for DL"	"12.09.2020 11:00"	"12.09.2020 12:00"	"Rappel"	""	""
"Manger avec Michael"	"04.11.2020 20:00"	"04.11.2020 21:00"	"Rappel"	""	""
"Bouffe avec Ofé"	"01.06.2021 19:00"	"01.06.2021 20:00"	"Rappel"	""	""
"Deadline for Numercial Methods homework 1"	"06.10.2020 21:00"	"06.10.2020 22:00"	"Rappel"	""	""
"Bière avec Heloïse + Simon"	"21.08.2020 19:00"	"21.08.2020 20:00"	"Rappel"	""	""
"Rendez-vous Lemo à Ecublens"	"16.07.2021 15:00"	"16.07.2021 16:00"	"Rappel"	""	""
"Soirée Gowtham"	"05.02.2021 18:30"	"05.02.2021 19:30"	"Rappel"	""	""
"S’occuper de la Racing Team"	"21.07.2021 14:00"	"21.07.2021 15:00"	"Rappel"	""	""
"Marina"	"14.07.2020 19:30"	"14.07.2020 20:30"	"Rappel"	""	""
"Exam: TOC"	"03.08.2020 16:00"	"03.08.2020 19:00"	"Rappel"	""	""
"Resto anni Tiffany + Timothée"	"30.08.2020 12:30"	"30.08.2020 13:30"	""	""	""
"Chez Flo"	"15.02.2021 16:30"	"15.02.2021 17:30"	"Rappel"	""	""
"Zoom avec John - Racing Team"	"19.08.2020 10:00"	"19.08.2020 11:00"	"Rappel"	""	""
"Entretiens EPFLRT"	"31.05.2021 18:10"	"31.05.2021 20:00"	"Rappel"	""	""
"Appel Baudoin"	"11.05.2021 15:00"	"11.05.2021 16:00"	"Rappel"	""	""
"Rdv sats redire"	"16.07.2020 10:00"	"16.07.2020 11:00"	"Rappel"	""	""
"Entraînement roll-out"	"14.05.2021 17:00"	"14.05.2021 18:00"	"Rappel"	""	""
"Opération Jojo"	"08.02.2021 09:30"	"08.02.2021 10:30"	"Rappel"	""	""
"Repas Marianna Jo"	"27.02.2021 19:00"	"27.02.2021 20:00"	"Rappel"	""	""
"Meeting EPFLRT - nouveaux postes"	"08.06.2021 17:00"	"08.06.2021 18:00"	"Rappel"	""	""
"Voir Théo et Mile"	"31.10.2020 15:00"	"31.10.2020 16:00"	"Rappel"	""	""
"Aprèm avec Emma"	"07.09.2020 14:00"	"07.09.2020 15:00"	""	""	""
"Meeting Prof. Gillet"	"02.09.2020 14:00"	"02.09.2020 15:00"	"Rappel"	""	""
"Faire memes avec Théo pour Driesens"	"23.12.2020 18:00"	"23.12.2020 19:00"	"Rappel"	""	""
"Soirée avec Anne"	"07.05.2021 19:00"	"07.05.2021 20:00"	"Rappel"	""	""
"Barbier"	"05.12.2020 11:00"	"05.12.2020 12:00"	"Rappel"	""	""
"Soirée Biomed Emma"	"18.09.2020 19:00"	"18.09.2020 20:00"	""	""	""
"Rando Jojo"	"01.09.2020"	"05.09.2020"	""	""	""
"EXA : Signal Processing for Communications"	"24.06.2021 16:15"	"24.06.2021 19:15"	"Rappel"	""	""
"Passer chez Oganes"	"12.02.2021 11:00"	"12.02.2021 12:00"	"Rappel"	""	""
"Meeting sponsoring Coline"	"17.02.2021 17:00"	"17.02.2021 18:00"	"Rappel"	""	""
"Anabela à la maison"	"30.04.2021 19:00"	"30.04.2021 20:00"	"Rappel"	""	""
"Passer chez Chantal"	"06.10.2020 17:00"	"06.10.2020 18:00"	"Rappel"	""	""
"Romain et Flo appart"	"22.04.2021 19:00"	"22.04.2021 20:00"	"Rappel"	""	""
"Repas Lausanne avec Marin"	"23.01.2021 19:00"	"23.01.2021 20:00"	"Rappel"	""	""
"Rendre numerical methods homework 3"	"03.11.2020 12:00"	"03.11.2020 13:00"	"Rappel"	""	""
"Meeting DV EPFLRT"	"04.06.2021 13:20"	"04.06.2021 14:00"	"Rappel"	""	""
"Rendre PDC - HW2"	"16.05.2021 12:00"	"16.05.2021 13:00"	"Rappel"	""	""
"Aprèm avec Pidoux"	"27.02.2021 15:00"	"27.02.2021 18:00"	"Rappel"	""	""
"Physio"	"01.07.2020 15:30"	"01.07.2020 16:30"	"Rappel"	""	""
"Verre avec Clem Co"	"31.08.2020 21:00"	"31.08.2020 22:00"	"Rappel"	""	""
"Rendez-vous avec Brady pour Sponsoring Uman"	"02.02.2021 13:30"	"02.02.2021 14:30"	"Rappel"	""	""
"Physio"	"02.11.2020 16:00"	"02.11.2020 17:00"	"Rappel"	""	""
"DV meeting"	"04.06.2021 11:45"	"04.06.2021 12:00"	"Rappel"	""	""
"Travail de groupe database avec Gaetan"	"18.03.2021 08:30"	"18.03.2021 09:30"	"Rappel"	""	""
"Repas avec Ragul"	"08.06.2021 20:00"	"09.06.2021 00:00"	"Rappel"	""	""
"Appel PLD"	"24.10.2020 16:15"	"24.10.2020 17:15"	"Rappel"	""	""
"Soirée chez Jess"	"03.10.2020 21:00"	"03.10.2020 22:00"	""	""	""
"Soirée Jess + Théo grosse khapta"	"03.04.2021 20:00"	"03.04.2021 21:00"	"Rappel"	""	""
"Zoom avec Felipe"	"17.08.2020 10:00"	"17.08.2020 11:00"	""	""	""
"Manger avec Mile"	"14.08.2020 13:00"	"14.08.2020 14:00"	""	""	""
"Meeting DV EPFLRT"	"04.06.2021 09:00"	"04.06.2021 10:00"	"Rappel"	""	""
"Exam: ProgOS"	"12.08.2020 16:00"	"12.08.2020 18:00"	""	""	""
"Faire lettre de motivation pour innovation & entrepeneurship in engineering"	"30.07.2021 11:00"	"30.07.2021 12:00"	"Rappel"	""	""
"EXA : Database"	"30.06.2021 08:15"	"30.06.2021 11:15"	"Rappel"	""	""
"Numerical methods homework"	"24.11.2020 22:00"	"24.11.2020 23:00"	"Rappel"	""	""
"EXA : Internet Analytics"	"25.06.2021 16:15"	"25.06.2021 19:15"	"Rappel"	""	""
"Grèce avec maman"	"11.07.2021"	"16.07.2021"	""	""	""
"Appel Jeie"	"07.10.2020 18:00"	"07.10.2020 19:00"	"Rappel"	""	""
"Repas des cadres colo"	"08.09.2021 17:00"	"08.09.2021 18:00"	"Rappel"	""	""
"État des lieux triaudes"	"30.09.2021 08:00"	"30.09.2021 09:00"	"Rappel"	""	""
"PDC l’a-t-elle"	"14.05.2021 18:00"	"14.05.2021 19:00"	"Rappel"	""	""
"Appeler Stefan Google cloud"	"07.12.2020 13:00"	"07.12.2020 14:00"	"Rappel"	""	""
"Physio"	"28.10.2020 16:30"	"28.10.2020 17:30"	"Rappel"	""	""
"Zoom avec Théa et Marion pour Porto"	"24.07.2020 18:00"	"24.07.2020 19:00"	""	""	""
"Manger avec Chris"	"28.07.2021 12:00"	"28.07.2021 13:00"	"Rappel"	""	""
"Meeting SP EPFLRT"	"05.06.2021 17:30"	"05.06.2021 20:00"	"Rappel"	""	""
"Réunion finale EPLFRT"	"18.09.2021 11:00"	"18.09.2021 12:00"	"Rappel"	""	""
"EXA : Computer Graphics"	"21.06.2021 16:15"	"21.06.2021 18:15"	"Rappel"	""	""
"Meeting Jade pour voiture"	"22.09.2021 14:00"	"22.09.2021 14:30"	"Rappel"	""	""
"Marina"	"07.04.2021 14:00"	"07.04.2021 15:00"	"Rappel"	""	""
"Repas chez Anne-Laure"	"29.08.2021 19:00"	"29.08.2021 20:00"	"Rappel"	""	""
"Meeting racing team"	"18.02.2021 18:00"	"18.02.2021 19:00"	"Rappel"	""	""
"Repas avec Fernando"	"21.11.2020 19:00"	"21.11.2020 20:00"	"Rappel"	""	""
"Call avec PA pour actuator"	"17.12.2020 11:00"	"17.12.2020 12:00"	"Rappel"	""	""
"Villa avec Flo"	"08.03.2021 17:00"	"08.03.2021 18:00"	"Rappel"	""	""
"Rendez-vous avec Sam Cotture"	"23.09.2020 09:00"	"23.09.2020 10:00"	""	""	""
"Café Jojo"	"21.03.2021 17:00"	"21.03.2021 18:00"	"Rappel"	""	""
"Apéro avec Élodie et Milan"	"25.05.2021 20:00"	"25.05.2021 21:00"	"Rappel"	""	""
"Midi avec Flo"	"17.03.2021 12:00"	"17.03.2021 13:00"	"Rappel"	""	""
"Write script to store images with labels on it"	"09.12.2020 12:00"	"09.12.2020 13:00"	"Rappel"	""	""
"Barbier"	"22.07.2020 15:30"	"22.07.2020 16:30"	"Rappel"	""	""
"Mail Caméras"	"08.12.2020 14:00"	"08.12.2020 15:00"	"Rappel"	""	""
"Mails EPFLRT (DV + SP)"	"30.06.2021 17:00"	"30.06.2021 18:00"	"Rappel"	""	""
"Café Jojo"	"06.04.2021 16:00"	"06.04.2021 17:00"	"Rappel"	""	""
"Rendre compsec homework"	"20.11.2020 12:00"	"20.11.2020 13:00"	"Rappel"	""	""
"Manger avec Clem co et smile"	"15.08.2020 19:00"	"15.08.2020 20:00"	"Rappel"	""	""
"Verre avec Anne-Laure"	"30.08.2021 16:00"	"30.08.2021 17:00"	"Rappel"	""	""
"Meeting Swisstech"	"15.04.2021 08:00"	"15.04.2021 09:00"	"Rappel"	""	""
"Call avec PLD"	"13.11.2020 22:00"	"13.11.2020 23:00"	"Ne pas accepter de date au Riverside"	""	""
"Réunion business"	"30.03.2021 19:00"	"30.03.2021 20:00"	"Rappel"	""	""
"PLD Bâle"	"28.11.2020 09:00"	"28.11.2020 10:00"	"Rappel"	""	""
"Réunion sponsoring"	"20.04.2021 17:30"	"20.04.2021 18:30"	"Rappel"	""	""
"Aprèm avec Nylsa"	"25.07.2021 14:00"	"25.07.2021 17:00"	"Rappel"	""	""
"Verre avec Jojo"	"30.10.2020 20:00"	"30.10.2020 21:00"	"Rappel"	""	""
"Soirée Morgane + Nolwenn"	"17.09.2020 18:00"	"17.09.2020 19:00"	""	""	""
"Regarder pour AG"	"18.08.2021"	"19.08.2021"	""	""	""
"Mail caméras sponsoring !!!!"	"09.12.2020 18:30"	"09.12.2020 19:30"	"Rappel"	""	""
"Présentation projet bachelor"	"25.01.2021 16:00"	"25.01.2021 17:00"	"Rappel"	""	""
"Databases - Deadline milestone (3/3)"	"31.05.2021"	"01.06.2021"	""	""	""
"Week-end formation colo"	"03.07.2021"	"05.07.2021"	""	""	""
"Payer t-shirt EPFLRT"	"11.06.2021"	"12.06.2021"	""	""	""
"Meeting SP EPFLRT"	"01.06.2021 09:00"	"01.06.2021 09:20"	"Rappel"	""	""
"Physio"	"06.07.2020 13:30"	"06.07.2020 14:30"	"Rappel"	""	""
"Meeting business plan"	"26.03.2021 15:00"	"26.03.2021 16:00"	"Rappel"	""	""
"Réunion générale racing team"	"22.02.2021 19:00"	"22.02.2021 20:00"	"Rappel"	""	""
"Manger avec Mehdi et Batona"	"29.10.2020 20:00"	"29.10.2020 21:00"	"Rappel"	""	""
"Verre avec Clara"	"27.08.2020 19:00"	"27.08.2020 20:00"	""	""	""
"Message anni Jo"	"02.03.2021 10:00"	"02.03.2021 11:00"	"Rappel"	""	""
"Verre avec Amy"	"25.07.2021 18:00"	"25.07.2021 19:00"	"Rappel"	""	""
"Soirée Heloïse"	"22.07.2021 21:00"	"22.07.2021 22:00"	"Rappel"	""	""
"Cezary"	"23.12.2020 16:00"	"23.12.2020 17:00"	"Rappel"	""	""
"Bar avec Nylsa, Juju et Yas"	"26.04.2021 20:00"	"26.04.2021 21:00"	"Rappel"	""	""
"Driverless team meeting"	"17.09.2020 19:00"	"17.09.2020 20:00"	""	""	""
"Midi avec Ragul"	"06.05.2021 12:00"	"06.05.2021 13:00"	"Rappel"	""	""
"Appel Helvetia environnement"	"17.09.2021 11:30"	"17.09.2021 12:30"	"Rappel"	""	""
"Rendez-vous Batelier"	"17.09.2021 15:30"	"17.09.2021 16:30"	"Rappel"	""	""
"Meeting comité EPFLRT"	"09.06.2021 19:00"	"09.06.2021 21:00"	"Rappel"	""	""
"Séance infos masters"	"25.03.2021 16:00"	"25.03.2021 17:00"	"Rappel"	""	""
